|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
9845|351512 Emilianópolis|2005|351512|Emilianópolis|643|730|1223|428|1538|1486|3024|991.97|||4226.75||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|21391.511|||
9846|351515 Engenheiro Coelho|2005|351515|Engenheiro Coelho|3801|4107|4419|958|6910|6375|13285|3927.5|||12396.75||||||5.0|0.0|5.0|5.0|5.0|5.0|0.02|150632.867|||
9847|351518 Espírito Santo do Pinhal|2005|351518|Espírito Santo do Pinhal|9401|10746|16652|5328|20746|21381|42127|35939.49|1027.26||31545.67|136.17|||||10.0|83.0|93.0|84.0|91.0|93.0|0.06|470330.988|||
9848|351519 Espírito Santo do Turvo|2005|351519|Espírito Santo do Turvo|1143|1136|1473|308|2065|1995|4060|312.96|0.0||7695.75|0.0|||||3.0|0.0|3.0|2.0|2.0|3.0|0.01|38437.484|||
9849|355730 Estiva Gerbi|2005|355730|Estiva Gerbi|2455|2696|3699|833|4959|4724|9683|5441.73|0.68||9209.67|0.25|||||2.0|2.0|4.0|4.0|4.0|4.0|0.02|131790.447|||
9850|351520 Estrela d'Oeste|2005|351520|Estrela d'Oeste|1732|2182|3363|1134|4250|4161|8411|47176.08|261.73||9268.17|34.67|||||1.0|4.0|5.0|4.0|5.0|5.0|0.03|207995.355|||
9851|351530 Estrela do Norte|2005|351530|Estrela do Norte|714|687|1004|295|1391|1309|2700|386.66|||3793.92||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|13825.402|||
9852|351535 Euclides da Cunha Paulista|2005|351535|Euclides da Cunha Paulista|2873|2703|3510|1016|5104|4998|10102|3600.53|0.0||19934.08|0.0|||||5.0|1.0|6.0|5.0|5.0|6.0|0.01|43538.598|||
9853|351540 Fartura|2005|351540|Fartura|3703|4063|5801|1937|7684|7820|15504|32445.68|471.25||16337.67|62.42|||||4.0|22.0|26.0|25.0|25.0|26.0|0.02|114572.772|||
9854|351560 Fernando Prestes|2005|351560|Fernando Prestes|1103|1370|2200|933|2768|2838|5606|3562.5|26.26||6425.17|9.58|||||2.0|1.0|3.0|3.0|3.0|3.0|0.01|60070.88|||
9855|351550 Fernandópolis|2005|351550|Fernandópolis|13353|16416|25924|8929|31694|32928|64622|353776.5|110.73||54932.92|14.67|||||15.0|80.0|95.0|89.0|93.0|95.0|0.1|727144.617|||
9856|351565 Fernão|2005|351565|Fernão|350|414|564|205|788|745|1533|429.42|0.0||2815.25|0.0|||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|15509.108|||
9857|351570 Ferraz de Vasconcelos|2005|351570|Ferraz de Vasconcelos|46827|45805|57770|8915|78070|81247|159317|305420.11|5417.11||136504.0|719.25|||||15.0|7.0|22.0|17.0|20.0|22.0|0.11|806217.795|||
9858|351580 Flora Rica|2005|351580|Flora Rica|407|485|770|336|990|1008|1998|48.75|||3050.25||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|16364.767|||
9859|351590 Floreal|2005|351590|Floreal|547|696|1355|578|1575|1601|3176|235.13|||2110.08||||||2.0|0.0|2.0|1.0|2.0|2.0|0.0|21479.866|||
9860|351600 Flórida Paulista|2005|351600|Flórida Paulista|2822|3398|4441|1617|6425|5853|12278|10903.98|659.37||13920.33|87.33|||||3.0|2.0|5.0|5.0|5.0|5.0|0.02|116719.985|||
9861|351610 Florínia|2005|351610|Florínia|732|746|1196|362|1473|1563|3036|2658.6|0.0||5739.67|0.0|||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|46576.074|||
9862|351620 Franca|2005|351620|Franca|78227|82371|120465|29447|152499|158011|310510|1534290.7|9724.1||228440.67|1296.08|||||41.0|104.0|145.0|122.0|142.0|145.0|0.41|3039676.39|||
9863|351630 Francisco Morato|2005|351630|Francisco Morato|46316|43839|50435|7129|73496|74223|147719|194960.66|1104.82||127337.83|146.33|||||19.0|3.0|22.0|19.0|21.0|22.0|0.06|476548.04|||
9864|351640 Franco da Rocha|2005|351640|Franco da Rocha|33354|37479|44449|7726|63220|59788|123008|407687.38|18457.77||126640.5|2496.25|||||26.0|6.0|32.0|25.0|31.0|32.0|0.12|858199.449|||
9865|351650 Gabriel Monteiro|2005|351650|Gabriel Monteiro|539|650|1167|420|1417|1359|2776|287.12|||1248.42||||||2.0|0.0|2.0|1.0|1.0|2.0|0.0|24009.055|||
9866|351660 Gália|2005|351660|Gália|1714|1992|2818|1052|3821|3755|7576|10721.68|0.0||10326.92|0.0|||||2.0|1.0|3.0|3.0|3.0|3.0|0.01|37654.865|||
9867|351670 Garça|2005|351670|Garça|10187|11610|16629|5655|21552|22529|44081|68426.87|945.01||59920.83|125.17|||||11.0|8.0|19.0|16.0|19.0|19.0|0.05|355402.318|||
9868|351680 Gastão Vidigal|2005|351680|Gastão Vidigal|920|1160|1422|486|2086|1902|3988|1320.66|||4053.0||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|24536.414|||
9869|351685 Gavião Peixoto|2005|351685|Gavião Peixoto|1127|1267|1558|421|2297|2076|4373|1022.92|||2910.0||||||2.0|0.0|2.0|1.0|1.0|2.0|0.01|50096.672|||
9870|351690 General Salgado|2005|351690|General Salgado|2346|2773|4454|1405|5551|5427|10978|13356.05|89.96||6267.75|32.83|||||4.0|6.0|10.0|8.0|9.0|10.0|0.01|105009.82|||
9871|351700 Getulina|2005|351700|Getulina|2443|3049|3976|1340|5853|4955|10808|16665.57|||7219.08||||||3.0|1.0|4.0|4.0|4.0|4.0|0.01|75572.556|||
9872|351710 Glicério|2005|351710|Glicério|1125|1142|1775|556|2314|2284|4598|1822.87|||6399.92||||||5.0|0.0|5.0|3.0|4.0|5.0|0.0|33627.16|||
9873|351720 Guaiçara|2005|351720|Guaiçara|2646|2759|3748|1037|5090|5100|10190|68.33|||3542.92||||||4.0|1.0|5.0|5.0|5.0|5.0|0.01|71390.677|||
9874|351730 Guaimbê|2005|351730|Guaimbê|1418|1461|1888|670|2717|2720|5437|5009.38|||5039.33||||||2.0|1.0|3.0|3.0|3.0|3.0|0.0|28970.613|||
9875|351740 Guaíra|2005|351740|Guaíra|8590|10097|14434|3736|18416|18441|36857|22078.92|625.39||32984.17|82.83|||||10.0|12.0|22.0|18.0|20.0|22.0|0.08|586040.927|||
9876|351750 Guapiaçu|2005|351750|Guapiaçu|3613|4377|6598|1823|8330|8081|16411|14633.64|||21786.5||||||4.0|5.0|9.0|5.0|9.0|9.0|0.04|289594.548|||
9877|351760 Guapiara|2005|351760|Guapiara|5437|5154|6687|1958|9818|9418|19236|20602.08|230.88||19097.25|39.5|||||8.0|1.0|9.0|8.0|8.0|9.0|0.01|105160.111|||
9878|351770 Guará|2005|351770|Guará|5422|5461|7120|1829|9914|9918|19832|17161.21|18.88||10854.92|2.5|||||6.0|8.0|14.0|13.0|14.0|14.0|0.03|208976.363|||
9879|351780 Guaraçaí|2005|351780|Guaraçaí|1842|2182|3545|1275|4434|4410|8844|3573.27|53.43||3831.5|19.5|||||3.0|1.0|4.0|4.0|4.0|4.0|0.01|88559.511|||
9880|351790 Guaraci|2005|351790|Guaraci|2414|2673|3448|1107|4912|4730|9642|9436.0|||7021.0||||||5.0|0.0|5.0|4.0|5.0|5.0|0.01|97568.305|||
9881|351800 Guarani d'Oeste|2005|351800|Guarani d'Oeste|433|505|772|321|1021|1010|2031|2138.54|46.58||4767.08|17.0|||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|11224.094|||
9882|351810 Guarantã|2005|351810|Guarantã|1764|1815|2294|632|3289|3216|6505|7186.88|||7997.83||||||1.0|1.0|2.0|2.0|2.0|2.0|0.01|53657.659|||
9883|351820 Guararapes|2005|351820|Guararapes|6715|7887|11900|3907|15003|15406|30409|23739.47|255.44||9972.42|33.83|||||7.0|4.0|11.0|10.0|10.0|11.0|0.05|400374.435|||
9884|351830 Guararema|2005|351830|Guararema|6287|6752|9068|2377|12347|12137|24484|22889.41|169.88||7198.5|22.5|||||3.0|2.0|5.0|5.0|5.0|5.0|0.11|788742.657|||
9885|351840 Guaratinguetá|2005|351840|Guaratinguetá|25622|29226|43873|11966|53705|56982|110687|485193.38|59.77||38984.33|7.92|||||18.0|35.0|53.0|46.0|50.0|53.0|0.23|1703425.033|||
9886|351850 Guareí|2005|351850|Guareí|3193|3861|4465|1230|7248|5501|12749|6373.64|421.54||13725.5|55.83|||||6.0|0.0|6.0|4.0|4.0|6.0|0.01|80751.568|||
9887|351860 Guariba|2005|351860|Guariba|9226|10022|12044|2820|17219|16893|34112|46553.64|2400.9||36499.67|318.0|||||7.0|2.0|9.0|7.0|8.0|9.0|0.05|362233.956|||
9888|351870 Guarujá|2005|351870|Guarujá|77372|78908|106668|21489|139626|144811|284437|619442.24|6753.48||259957.83|894.5|||||31.0|48.0|79.0|62.0|78.0|79.0|0.39|2872131.166|||
9889|351880 Guarulhos|2005|351880|Guarulhos|320844|331919|444508|78499|575315|600455|1175770|2700568.08|28371.8||931263.5|3885.75|||||97.0|167.0|264.0|198.0|263.0|264.0|2.57|19079659.106|||
9890|351885 Guatapará|2005|351885|Guatapará|1827|1868|2493|640|3502|3326|6828|505.05|1.14||5391.75|0.42|||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|93883.385|||
9891|351890 Guzolândia|2005|351890|Guzolândia|1155|1236|1711|532|2395|2239|4634|200.48|||1036.25||||||4.0|0.0|4.0|3.0|3.0|4.0|0.0|24725.394|||
9892|351900 Herculândia|2005|351900|Herculândia|2140|2245|3133|1024|4308|4234|8542|11924.03|||12563.25||||||4.0|1.0|5.0|5.0|5.0|5.0|0.01|66734.413|||
9893|351905 Holambra|2005|351905|Holambra|2335|2754|3722|737|4856|4692|9548|10123.61|437.9||8345.25|58.0|||||4.0|0.0|4.0|4.0|4.0|4.0|0.03|259113.726|||
9894|351907 Hortolândia|2005|351907|Hortolândia|48580|51809|65908|10979|89128|88148|177276|219005.36|3594.06||143315.08|512.67|||||29.0|6.0|35.0|28.0|33.0|35.0|0.45|3379876.179|||
9895|351910 Iacanga|2005|351910|Iacanga|2193|2491|3505|1197|4809|4577|9386|11016.0|||5408.08||||||3.0|1.0|4.0|4.0|4.0|4.0|0.01|71951.529|||
9896|351920 Iacri|2005|351920|Iacri|1533|1715|2619|870|3393|3344|6737|9458.72|||8826.92||||||2.0|1.0|3.0|3.0|3.0|3.0|0.01|56209.78|||
9897|351925 Iaras|2005|351925|Iaras|1385|1394|1769|344|2963|1929|4892|2219.17|||3696.0||||||3.0|0.0|3.0|3.0|3.0|3.0|0.01|43370.042|||
9898|351930 Ibaté|2005|351930|Ibaté|8011|8599|10384|2324|14943|14375|29318|47333.92|1476.71||34708.67|222.08|||||9.0|1.0|10.0|9.0|10.0|10.0|0.04|264770.918|||
9899|351940 Ibirá|2005|351940|Ibirá|2285|2705|3903|1534|5171|5256|10427|16699.45|0.0||7521.5|0.0|||||4.0|2.0|6.0|6.0|6.0|6.0|0.01|71350.763|||
9900|351950 Ibirarema|2005|351950|Ibirarema|1605|1569|2375|823|3216|3156|6372|4245.36|||7904.75||||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|63530.655|||
9901|351960 Ibitinga|2005|351960|Ibitinga|11544|14074|19660|5848|25268|25858|51126|63088.21|1300.31||32460.33|179.5|||||10.0|13.0|23.0|22.0|22.0|23.0|0.07|510238.313|||
9902|351970 Ibiúna|2005|351970|Ibiúna|18876|19449|24872|6239|35498|33938|69436|103001.51|2018.37||58920.33|267.33|||||16.0|11.0|27.0|25.0|26.0|27.0|0.07|500368.391|||
9903|351980 Icém|2005|351980|Icém|1797|2061|2663|767|3683|3605|7288|6177.49|385.05||9661.33|51.0|||||5.0|0.0|5.0|3.0|4.0|5.0|0.01|69188.569|||
9904|351990 Iepê|2005|351990|Iepê|1825|1869|2836|1084|3790|3824|7614|23681.0|||14787.83||||||5.0|2.0|7.0|6.0|7.0|7.0|0.01|67036.06|||
9905|352000 Igaraçu do Tietê|2005|352000|Igaraçu do Tietê|5862|6566|9015|2065|11766|11742|23508|24867.51|||21487.58||||||4.0|1.0|5.0|5.0|5.0|5.0|0.02|111458.678|||
9906|352010 Igarapava|2005|352010|Igarapava|6523|7434|10302|3314|13634|13939|27573|24216.77|91.86||13473.58|12.17|||||6.0|3.0|9.0|9.0|9.0|9.0|0.05|362788.968|||
9907|352020 Igaratá|2005|352020|Igaratá|2268|2322|3297|874|4495|4266|8761|1545.12|5.02||5537.0|1.83|||||6.0|1.0|7.0|7.0|7.0|7.0|0.01|52819.809|||
9908|352030 Iguape|2005|352030|Iguape|7403|7298|10418|3662|14563|14218|28781|24093.11|||20822.5||||||6.0|0.0|6.0|6.0|6.0|6.0|0.02|165125.065|||
9909|352042 Ilha Comprida|2005|352042|Ilha Comprida|1946|1890|3303|949|4043|4045|8088|7688.67|44.75||13128.58|16.33|||||5.0|0.0|5.0|5.0|5.0|5.0|0.01|59757.822|||
9910|352044 Ilha Solteira|2005|352044|Ilha Solteira|5466|6289|10585|2751|12319|12772|25091|120013.02|821.06||23341.67|108.75|||||9.0|23.0|32.0|27.0|31.0|32.0|0.03|227526.507|||
9911|352040 Ilhabela|2005|352040|Ilhabela|6820|7459|9132|1805|12956|12260|25216|46407.26|478.17||18664.83|63.33|||||10.0|2.0|12.0|10.0|12.0|12.0|0.03|207393.304|||
9912|352050 Indaiatuba|2005|352050|Indaiatuba|43327|50547|69486|16001|89390|89971|179361|706602.62|6221.77||149378.42|858.0|||||25.0|64.0|89.0|65.0|86.0|89.0|0.57|4227252.25|||
9913|352060 Indiana|2005|352060|Indiana|1123|1324|1879|657|2515|2468|4983|97.12|||7188.42||||||3.0|0.0|3.0|3.0|3.0|3.0|0.0|26401.694|||
9914|352070 Indiaporã|2005|352070|Indiaporã|793|1002|1621|648|2016|2048|4064|6070.15|||6113.08||||||2.0|1.0|3.0|3.0|3.0|3.0|0.0|30045.509|||
9915|352080 Inúbia Paulista|2005|352080|Inúbia Paulista|796|924|1345|492|1803|1754|3557|681.25|||3643.33||||||1.0|0.0|1.0|1.0|1.0|1.0|0.01|47368.551|||
9916|352090 Ipaussu|2005|352090|Ipaussu|3507|3514|4865|1534|6757|6663|13420|16431.58|396.38||13533.75|52.5|||||2.0|3.0|5.0|5.0|5.0|5.0|0.02|112798.281|||
9917|352100 Iperó|2005|352100|Iperó|6485|7231|8571|1786|12899|11174|24073|3723.06|133.38||12581.67|17.67|||||7.0|0.0|7.0|5.0|5.0|7.0|0.03|212356.459|||
9918|352110 Ipeúna|2005|352110|Ipeúna|1443|1479|1865|542|2764|2565|5329|1567.59|||3616.17||||||2.0|0.0|2.0|1.0|2.0|2.0|0.01|80053.032|||
9919|352115 Ipiguá|2005|352115|Ipiguá|949|1023|1605|501|2078|2000|4078|1083.83|||4077.33||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|33424.598|||
9920|352120 Iporanga|2005|352120|Iporanga|1367|1284|1376|495|2328|2194|4522|336.38|0.0||5315.5|0.0|||||2.0|0.0|2.0|2.0|2.0|2.0|0.0|18255.561|||
9921|352130 Ipuã|2005|352130|Ipuã|3403|3857|4918|1166|6809|6535|13344|12536.39|7.55||11501.08|1.0|||||8.0|13.0|21.0|19.0|19.0|21.0|0.02|157446.024|||
9922|352140 Iracemápolis|2005|352140|Iracemápolis|4279|5190|7081|1731|9183|9098|18281|7458.36|65.43||9010.25|8.67|||||7.0|2.0|9.0|7.0|9.0|9.0|0.03|239592.588|||
9923|352150 Irapuã|2005|352150|Irapuã|1707|1954|2636|836|3715|3418|7133|5016.46|||9941.5||||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|56391.691|||
9924|352160 Irapuru|2005|352160|Irapuru|1570|2157|2833|1237|4209|3588|7797|829.71|||7569.25||||||3.0|1.0|4.0|4.0|4.0|4.0|0.0|34771.379|||
9925|352170 Itaberá|2005|352170|Itaberá|5078|4888|6855|1942|9473|9290|18763|10048.0|806.59||12955.67|106.83|||||11.0|2.0|13.0|12.0|12.0|13.0|0.02|146395.588|||
9926|352180 Itaí|2005|352180|Itaí|6024|6579|8433|2046|12101|10981|23082|25455.23|462.83||24631.33|168.92|||||6.0|22.0|28.0|27.0|27.0|28.0|0.02|173190.385|||
9927|352190 Itajobi|2005|352190|Itajobi|2941|3659|5956|2159|7407|7308|14715|11833.72|7.08||11995.25|2.58|||||2.0|3.0|5.0|5.0|5.0|5.0|0.02|141278.689|||
9928|352200 Itaju|2005|352200|Itaju|701|793|1119|407|1577|1443|3020|733.16|||1096.75||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|35023.651|||
9929|352210 Itanhaém|2005|352210|Itanhaém|21741|20597|30010|9253|40062|41539|81601|253081.36|1657.22||108345.5|219.5|||||19.0|10.0|29.0|17.0|26.0|29.0|0.07|510082.812|||
9930|352215 Itaóca|2005|352215|Itaóca|905|824|1101|467|1692|1605|3297|95.67|||4011.42||||||2.0|0.0|2.0|1.0|1.0|2.0|0.0|12918.049|||
9931|352220 Itapecerica da Serra|2005|352220|Itapecerica da Serra|41977|42804|51985|7981|71977|72770|144747|616306.85|6876.18||257765.17|943.83|||||18.0|9.0|27.0|20.0|26.0|27.0|0.18|1300785.729|||
9932|352230 Itapetininga|2005|352230|Itapetininga|35951|38600|50251|13537|69193|69146|138339|401340.56|5677.6||111907.58|752.0|||||40.0|20.0|60.0|50.0|55.0|60.0|0.23|1733185.063|||
9933|352240 Itapeva|2005|352240|Itapeva|24737|24233|30629|7686|43114|44171|87285|324568.43|4227.37||85226.75|559.92|||||38.0|26.0|64.0|54.0|59.0|64.0|0.11|806393.1|||
9934|352250 Itapevi|2005|352250|Itapevi|57205|55283|64556|9382|91925|94501|186426|309651.67|5218.42||235841.67|692.08|||||20.0|10.0|30.0|26.0|29.0|30.0|0.24|1802101.043|||
9935|352260 Itapira|2005|352260|Itapira|14482|17544|26937|8552|33608|33907|67515|139510.99|1754.12||109776.67|232.33|||||19.0|99.0|118.0|99.0|117.0|118.0|0.16|1216025.955|||
9936|352265 Itapirapuã Paulista|2005|352265|Itapirapuã Paulista|1190|1070|1186|371|1989|1828|3817|73.0|||3786.67||||||4.0|0.0|4.0|2.0|2.0|4.0|0.0|14272.175|||
9937|352270 Itápolis|2005|352270|Itápolis|8593|10410|15493|5307|19839|19964|39803|35871.04|1757.36||22382.17|388.58|||||11.0|11.0|22.0|21.0|21.0|22.0|0.06|430419.114|||
9938|352280 Itaporanga|2005|352280|Itaporanga|3753|3985|5326|1708|7427|7345|14772|20983.22|||9474.42||||||2.0|3.0|5.0|4.0|4.0|5.0|0.01|65971.34|||
9939|352290 Itapuí|2005|352290|Itapuí|2933|3040|4304|1282|5886|5673|11559|21737.0|||10498.33||||||2.0|1.0|3.0|3.0|3.0|3.0|0.02|128325.88|||
9940|352300 Itapura|2005|352300|Itapura|1095|1097|1551|456|2192|2007|4199|28.45|0.0||909.42|0.0|||||2.0|0.0|2.0|2.0|2.0|2.0|0.0|28624.966|||
9941|352310 Itaquaquecetuba|2005|352310|Itaquaquecetuba|94340|89466|106671|14470|151128|153819|304947|239635.39|3759.27||177437.92|497.92|||||20.0|6.0|26.0|22.0|25.0|26.0|0.22|1606231.324|||
9942|352320 Itararé|2005|352320|Itararé|13362|12894|17133|4919|23841|24467|48308|159437.16|1677.36||36976.33|222.17|||||18.0|24.0|42.0|37.0|41.0|42.0|0.06|418336.983|||
9943|352330 Itariri|2005|352330|Itariri|4619|4028|4767|1488|7554|7348|14902|8874.24|113.25||9306.42|15.0|||||6.0|0.0|6.0|6.0|6.0|6.0|0.01|76367.542|||
9944|352340 Itatiba|2005|352340|Itatiba|21730|26230|36568|9255|46547|47236|93783|141527.27|2544.92||83903.67|357.83|||||18.0|37.0|55.0|45.0|54.0|55.0|0.26|1951188.362|||
9945|352350 Itatinga|2005|352350|Itatinga|5035|4829|5859|1451|8801|8373|17174|21891.29|251.9||12559.33|33.42|||||2.0|9.0|11.0|10.0|10.0|11.0|0.01|101304.729|||
9946|352360 Itirapina|2005|352360|Itirapina|3520|4275|5339|1416|8265|6285|14550|16502.28|||12000.33||||||4.0|15.0|19.0|19.0|19.0|19.0|0.02|153701.48|||
9947|352370 Itirapuã|2005|352370|Itirapuã|1582|1534|2049|633|2996|2802|5798|1237.42|||4339.83||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|29508.08|||
9948|352380 Itobi|2005|352380|Itobi|1882|2142|2786|862|3976|3696|7672|2988.71|568.77||4932.67|75.33|||||2.0|0.0|2.0|1.0|1.0|2.0|0.01|43123.672|||
9949|352390 Itu|2005|352390|Itu|37115|41422|56311|13493|73552|74789|148341|244562.03|6261.12||124119.5|829.83|||||40.0|62.0|102.0|79.0|99.0|102.0|0.38|2796739.098|||
9950|352400 Itupeva|2005|352400|Itupeva|9796|10922|13421|2566|18734|17971|36705|82225.6|885.9||52399.92|119.83|||||14.0|15.0|29.0|26.0|28.0|29.0|0.11|815950.312|||
9951|352410 Ituverava|2005|352410|Ituverava|8713|10320|14658|4664|18863|19492|38355|177382.33|851.26||32471.83|112.75|||||12.0|63.0|75.0|62.0|74.0|75.0|0.05|377250.393|||
9952|352420 Jaborandi|2005|352420|Jaborandi|1558|1808|2493|795|3384|3270|6654|4659.85|197.56||9370.58|26.17|||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|68130.444|||
9953|352430 Jaboticabal|2005|352430|Jaboticabal|16018|19118|27529|8486|34782|36369|71151|178053.76|2793.54||46345.67|385.08|||||14.0|22.0|36.0|25.0|35.0|36.0|0.13|991766.069|||
9954|352440 Jacareí|2005|352440|Jacareí|51068|55653|81113|18265|101310|104789|206099|686203.88|4680.63||178063.17|623.67|||||27.0|133.0|160.0|144.0|159.0|160.0|0.57|4246452.711|||
9955|352450 Jaci|2005|352450|Jaci|1157|1438|1942|491|2580|2448|5028|89637.59|2070.59||11192.0|274.25|||||1.0|6.0|7.0|3.0|7.0|7.0|0.02|135769.746|||
9956|352460 Jacupiranga|2005|352460|Jacupiranga|5013|4727|5994|1769|8911|8592|17503|21234.16|||17022.08||||||7.0|0.0|7.0|7.0|7.0|7.0|0.02|115691.804|||
9957|352470 Jaguariúna|2005|352470|Jaguariúna|9185|10856|14551|3497|19054|19035|38089|122654.37|2154.5||55745.25|292.0|||||9.0|12.0|21.0|15.0|17.0|21.0|0.36|2691981.629|||
9958|352480 Jales|2005|352480|Jales|9769|12213|19366|6289|23430|24207|47637|119460.6|1037.2||85124.92|145.5|||||16.0|40.0|56.0|46.0|55.0|56.0|0.07|506485.189|||
9959|352490 Jambeiro|2005|352490|Jambeiro|1225|1282|1761|534|2499|2303|4802|2377.81|||2172.75||||||2.0|1.0|3.0|3.0|3.0|3.0|0.01|105399.007|||
9960|352500 Jandira|2005|352500|Jandira|29207|30741|37718|4967|50578|52055|102633|233659.66|7824.0||131571.58|1160.42|||||14.0|3.0|17.0|13.0|16.0|17.0|0.16|1204824.773|||
9961|352510 Jardinópolis|2005|352510|Jardinópolis|9201|9410|12993|3493|17661|17436|35097|13690.17|1141.94||30386.92|151.25|||||17.0|4.0|21.0|19.0|20.0|21.0|0.04|325427.657|||
9962|352520 Jarinu|2005|352520|Jarinu|5499|6014|7602|1927|10771|10271|21042|4157.81|297.6||14899.25|39.42|||||5.0|2.0|7.0|6.0|6.0|7.0|0.03|248474.65|||
9963|352530 Jaú|2005|352530|Jaú|28065|33302|48726|14560|61253|63400|124653|2684643.72|7885.31||149186.58|1068.25|||||27.0|60.0|87.0|53.0|85.0|87.0|0.19|1419778.1|||
9964|352540 Jeriquara|2005|352540|Jeriquara|905|927|1140|315|1705|1582|3287|375.1|||2876.42||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|33513.156|||
9965|352550 Joanópolis|2005|352550|Joanópolis|2604|2968|4360|1429|5746|5615|11361|6772.68|554.92||9030.5|73.5|||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|61864.73|||
9966|352560 João Ramalho|2005|352560|João Ramalho|1089|1142|1471|388|2052|2038|4090|1267.34|||3106.67||||||1.0|0.0|1.0|1.0|1.0|1.0|0.01|52325.625|||
9967|352570 José Bonifácio|2005|352570|José Bonifácio|7388|8528|11962|3623|15749|15752|31501|30192.22|1292.94||26481.83|171.25|||||10.0|12.0|22.0|17.0|21.0|22.0|0.05|407861.272|||
9968|352580 Júlio Mesquita|2005|352580|Júlio Mesquita|1136|1183|1535|544|2168|2230|4398|2101.26|||6786.75||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|19235.847|||
9969|352585 Jumirim|2005|352585|Jumirim|590|755|916|304|1343|1222|2565|388.85|0.46||2205.75|0.17|||||2.0|0.0|2.0|1.0|1.0|2.0|0.0|27920.094|||
9970|352590 Jundiaí|2005|352590|Jundiaí|76844|94985|142018|41540|173693|181694|355387|2031609.66|9243.03||346817.33|2045.5|||||60.0|282.0|342.0|223.0|338.0|342.0|1.6|11906047.503|||
9971|352600 Junqueirópolis|2005|352600|Junqueirópolis|3753|4635|7157|2749|9626|8668|18294|14055.11|0.0||21001.08|0.0|||||5.0|2.0|7.0|7.0|7.0|7.0|0.02|131526.471|||
9972|352610 Juquiá|2005|352610|Juquiá|5759|5404|6954|2171|10304|9984|20288|40550.6|||26327.67||||||9.0|0.0|9.0|9.0|9.0|9.0|0.02|122702.764|||
9973|352620 Juquitiba|2005|352620|Juquitiba|8229|7820|9941|2262|14254|13998|28252|15009.74|892.44||32599.75|145.92|||||8.0|0.0|8.0|6.0|7.0|8.0|0.04|279993.69|||
9974|352630 Lagoinha|2005|352630|Lagoinha|1158|1220|1848|778|2599|2405|5004|7898.3|1197.93||7641.33|158.67|||||3.0|0.0|3.0|3.0|3.0|3.0|0.0|22559.88|||
9975|352640 Laranjal Paulista|2005|352640|Laranjal Paulista|5544|6488|9147|3106|12065|12220|24285|50851.8|483.2||27759.5|64.0|||||12.0|14.0|26.0|24.0|25.0|26.0|0.05|335041.214|||
9976|352650 Lavínia|2005|352650|Lavínia|1441|2396|2522|829|4277|2911|7188|30.61|0.0||2527.75|0.0|||||8.0|0.0|8.0|6.0|6.0|8.0|0.01|51539.784|||
9977|352660 Lavrinhas|2005|352660|Lavrinhas|1860|1838|2246|506|3247|3203|6450||||4285.42||||||4.0|0.0|4.0|4.0|4.0|4.0|0.01|49515.156|||
9978|352670 Leme|2005|352670|Leme|22766|24949|32450|8223|44512|43876|88388|121741.08|2227.78||88972.92|306.17|||||27.0|61.0|88.0|64.0|87.0|88.0|0.11|807628.09|||
9979|352680 Lençóis Paulista|2005|352680|Lençóis Paulista|14929|16827|22417|5478|29762|29889|59651|94447.72|2998.2||73431.0|404.92|||||12.0|63.0|75.0|72.0|74.0|75.0|0.11|812316.53|||
9980|352690 Limeira|2005|352690|Limeira|62908|73252|106159|26559|132759|136119|268878|793376.9|8279.36||155602.67|1165.83|||||30.0|245.0|275.0|224.0|274.0|275.0|0.65|4853751.265|||
9981|352700 Lindóia|2005|352700|Lindóia|1467|1608|2379|759|3110|3103|6213|43308.16|202.98||16281.08|28.0|||||3.0|3.0|6.0|5.0|6.0|6.0|0.01|44790.262|||
