|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
63|350560 Barrinha|2020|350560|Barrinha|8042|8183|13628|3327|16656|16524|33180|2766.38|18.87||9717.58|6.67||4.0|1.5|5.5|14.0|15.0||24.0|27.0|30.0|||||
64|350570 Barueri|2020|350570|Barueri|60408|65754|117693|33127|133705|143277|276982|1579124.12|3868.89||316068.58|4096.08||70.5|53.5|124.0|52.0|248.5||347.0|385.0|392.0|||||
65|350580 Bastos|2020|350580|Bastos|3995|4209|9071|3678|10290|10663|20953|35335.63|23.58||12575.75|8.33||6.0|2.0|8.0|19.0|15.0||22.0|30.0|36.0|||||
66|350590 Batatais|2020|350590|Batatais|11484|13346|26547|11603|30975|32005|62980|430893.46|5454.83||54359.58|2355.83||16.0|28.5|44.5|24.0|52.0||258.5|265.5|268.5|||||
67|350600 Bauru|2020|350600|Bauru|69132|79006|164370|66789|183674|195623|379297|2916825.07|20253.57||267253.58|2564.25||79.0|124.5|203.5|104.5|351.0||793.5|845.5|857.5|||||
68|350610 Bebedouro|2020|350610|Bebedouro|13574|15568|33526|14887|37575|39980|77555|578715.24|32281.51||38925.42|3031.67||21.5|35.5|57.0|29.5|94.0||243.0|284.0|287.5|||||
69|350620 Bento de Abreu|2020|350620|Bento de Abreu|621|669|1277|438|1537|1468|3005|0.83|||1539.33|||1.0|0.0|1.0|4.0|0.0||3.0|3.0|4.0|||||
70|350630 Bernardino de Campos|2020|350630|Bernardino de Campos|2076|2204|4591|2287|5464|5694|11158|21372.2|887.19||3594.67|347.92||4.0|1.0|5.0|8.5|7.5||15.0|17.0|18.0|||||
71|350635 Bertioga|2020|350635|Bertioga|16323|15917|25793|6690|31716|33007|64723|253492.84|106.07||66530.83|36.67||5.5|6.0|11.5|17.0|24.0||32.5|41.0|46.0|||||
72|350640 Bilac|2020|350640|Bilac|1211|1616|3660|1630|4075|4042|8117|22632.98|0.24||10390.67|0.08||2.0|0.0|2.0|3.0|3.0||9.0|9.0|10.0|||||
73|350650 Birigui|2020|350650|Birigui|22657|25226|55749|21251|61146|63737|124883|225178.51|5698.58||84098.42|516.33||15.0|24.5|39.5|30.0|102.0||185.0|217.5|219.5|||||
74|350660 Biritiba-Mirim|2020|350660|Biritiba-Mirim|7246|7392|13537|4761|16640|16296|32936|22750.62|6.13||8767.0|2.17||2.0|2.0|4.0|11.0|2.5||15.5|16.0|19.0|||||
75|350670 Boa Esperança do Sul|2020|350670|Boa Esperança do Sul|3293|3489|6265|1971|7575|7443|15018|20734.9|13.68||3790.08|4.83||3.0|1.0|4.0|11.0|3.0||18.0|19.0|22.0|||||
76|350680 Bocaina|2020|350680|Bocaina|2432|2763|5417|1840|6247|6205|12452|22580.83|0.0||12743.08|0.0||1.5|4.0|5.5|7.0|3.0||19.0|20.0|21.0|||||
77|350690 Bofete|2020|350690|Bofete|2436|2392|4892|2201|5989|5932|11921|4077.78|7.22||5514.25|2.83||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
78|350700 Boituva|2020|350700|Boituva|13217|14261|26880|7812|31426|30744|62170|123628.03|243.91||41619.58|151.75||12.5|19.0|31.5|17.5|46.5||86.0|100.5|105.0|||||
79|350710 Bom Jesus dos Perdões|2020|350710|Bom Jesus dos Perdões|5497|6133|11031|3324|13206|12779|25985|2446.9|0.0||4272.33|0.0||3.5|0.0|3.5|6.0|6.0||18.0|19.0|20.0|||||
80|350715 Bom Sucesso de Itararé|2020|350715|Bom Sucesso de Itararé|1038|1017|1519|410|2027|1957|3984|1508.62|112.95||344.08|44.25||1.0|0.0|1.0|4.5|0.0||2.5|2.5|4.5|||||
81|350720 Borá|2020|350720|Borá|161|195|368|114|435|403|838|279.89|4.24||1078.33|1.5||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
82|350730 Boracéia|2020|350730|Boracéia|1104|1067|1921|776|2456|2412|4868|3178.68|0.0||4597.25|0.0||1.0|0.0|1.0|3.0|0.0||3.0|3.0|4.0|||||
