|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
258|937731.09|1974.97|43.0|352240|352240 Itapeva|44499.7|34.5|18605.0|115.0|51.0|72.0|0.11|20792|46934|2.0|22289|239.0|Itapeva|12993|2521974.41|257.0|94804|2715.42|2020|47870|38730|122380.67|16.5
259|516663.2|3910.97|44.0|352250|352250 Itapevi|1412.52|5.5|34543.0|101.5|24.0|57.5|0.55|59335|118537|3.9|62199|88.0|Itapevi|23096|12172060.617999999|106.0|240961|554.25|2020|122424|96331|105305.92|18.5
260|162564.92|2703.98|25.0|352260|352260 Itapira|15004.04|20.5|23776.0|73.0|41.0|48.0|0.18|12181|37105|2.7|15361|141.0|Itapira|14161|3905552.187|150.0|75234|3786.58|2020|38129|33531|52991.92|20.5
266|584815.44|2487.97|38.5|352310|352310 Itaquaquecetuba|389.74|11.0|43482.0|81.5|28.5|43.0|0.33|91232|183718|2.5|96524|74.5|Itaquaquecetuba|37934|7212559.667|90.5|375011|137.83|2020|191293|149321|234868.58|17.5
269|390436.42|2999.99|39.0|352340|352340 Itatiba|30702.54|24.0|34196.0|135.5|46.5|96.5|0.27|22781|60720|3.0|26828|161.5|Itatiba|18289|6051183.935|193.5|122581|2611.58|2020|61861|54683|79066.58|22.5
274|1889887.18|2838.37|54.0|352390|352390 Itu|6209.17|53.0|54304.0|182.0|81.0|128.0|0.35|34687|86647|2.8|38825|324.0|Itu|25454|7831498.159|330.0|175568|587.25|2020|88921|76602|118871.42|28.0
276|467987.68|2247.37|26.0|352410|352410 Ituverava|9029.08|13.5|6791.0|115.5|30.0|89.5|0.07|7694|20490|2.3|8556|193.5|Ituverava|7791|1524621.96|201.5|42045|932.0|2020|21555|18004|23688.58|16.5
278|506030.36|2822.5|27.5|352430|352430 Jaboticabal|22322.8|16.5|21322.0|102.0|33.0|74.5|0.13|13488|37793|2.8|16101|160.5|Jaboticabal|14377|2906847.193|176.5|77652|2050.67|2020|39859|33686|51644.83|16.5
279|1121141.15|3363.42|41.5|352440|352440 Jacareí|22631.06|91.5|49178.0|224.0|136.5|182.5|0.57|46807|114468|3.4|50461|392.5|Jacareí|37524|12705392.677000001|421.5|235416|2870.5|2020|120948|100624|98624.58|45.0
282|184526.5|3673.27|31.0|352470|352470 Jaguariúna|796.54|21.0|33044.0|67.5|35.5|36.5|0.52|11790|28984|3.7|13147|87.0|Jaguariúna|8352|11529843.917000001|95.0|58722|449.33|2020|29738|25433|44999.08|14.5
283|1061623.91|2189.83|30.0|352480|352480 Jales|503.71|31.5|11074.0|148.0|45.5|118.0|0.07|7712|24048|2.2|8677|207.0|Jales|10748|1546576.083|224.0|49201|252.58|2020|25153|22064|44641.0|14.0
