|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
53|0.0|1954.34|5.0|350470|350470 Balbinos|0.0|0.0|346.0|5.0|1.0|0.0|0.0|144|5600|2.0|775|4.0|Balbinos|177|57562.788|4.0|5934|0.0|2020|334|4838|646.58|1.0
54|235.79|2419.92|4.0|350480|350480 Bálsamo|37.4|0.0|1318.0|5.0|3.0|1.0|0.01|1526|4445|2.4|1683|4.0|Bálsamo|1890|203039.71600000001|4.0|9139|14.67|2020|4694|4040|529.67|3.0
55|27168.12|1930.02|10.0|350490|350490 Bananal|7.55|0.0|1397.0|10.5|2.0|0.5|0.01|2316|5450|1.9|2296|8.0|Bananal|1952|184553.745|9.5|10993|2.67|2020|5543|4429|4409.5|2.0
56|0.0|1632.61|4.0|350500|350500 Barão de Antonina|0.0|0.0|467.0|4.0|1.0|0.0|0.0|771|1795|1.6|690|2.0|Barão de Antonina|658|53275.613|2.0|3498|0.0|2020|1703|1379|31.92|1.0
57|10450.8|1879.19|3.0|350510|350510 Barbosa|0.0|0.0|595.0|3.0|1.5|0.0|0.0|1528|3824|1.9|1636|1.0|Barbosa|1198|94911.097|1.0|7468|0.0|2020|3644|3106|11706.17|1.5
58|59670.79|2075.3|10.5|350520|350520 Bariri|177.15|3.0|7950.0|30.5|7.0|20.0|0.05|6771|17932|2.1|7644|61.0|Bariri|6434|1160199.259|66.0|35558|62.25|2020|17626|14709|22157.17|4.0
59|52092.65|2455.94|13.0|350530|350530 Barra Bonita|16.88|16.0|10348.0|42.5|21.0|29.5|0.06|5642|17447|2.5|6718|95.5|Barra Bonita|7142|1282531.674|97.5|36126|590.92|2020|18679|16624|14770.0|5.0
60|225.11|1546.46|7.0|350535|350535 Barra do Chapéu|0.0|0.0|535.0|7.0|1.0|0.0|0.0|1357|3037|1.5|1239|4.0|Barra do Chapéu|862|81216.322|4.0|5760|0.0|2020|2723|2302|140.42|1.0
61|19779.29|1991.36|8.0|350540|350540 Barra do Turvo|9.2|0.0|640.0|8.0|1.0|0.0|0.0|1822|3967|2.0|1550|7.0|Barra do Turvo|1390|91019.789|7.0|7632|3.25|2020|3665|2870|6758.67|1.0
62|6253533.04|2397.09|46.0|350550|350550 Barretos|25748.2|28.5|30547.0|156.5|75.0|110.5|0.22|22603|59407|2.4|24890|284.0|Barretos|21190|4859369.075|316.0|122833|2627.75|2020|63426|54150|174918.58|46.5
63|2766.38|2105.62|14.0|350560|350560 Barrinha|18.87|1.5|3809.0|29.0|5.5|15.0|0.02|8042|16656|2.1|8183|24.0|Barrinha|3327|517656.12799999997|27.0|33180|6.67|2020|16524|13628|9717.58|4.0
64|1579124.12|4091.67|52.0|350570|350570 Barueri|3868.89|53.5|278250.0|300.5|124.0|248.5|2.29|60408|133705|4.1|65754|347.0|Barueri|33127|50566643.986999996|385.0|276982|4096.08|2020|143277|117693|316068.58|70.5
65|35335.63|2009.93|19.0|350580|350580 Bastos|23.58|2.0|4468.0|34.0|8.0|15.0|0.04|3995|10290|2.0|4209|22.0|Bastos|3678|959525.1529999999|30.0|20953|8.33|2020|10663|9071|12575.75|6.0
66|430893.46|2499.35|24.0|350590|350590 Batatais|5454.83|28.5|14751.0|76.0|44.5|52.0|0.07|11484|30975|2.5|13346|258.5|Batatais|11603|1590068.481|265.5|62980|2355.83|2020|32005|26547|54359.58|16.0
67|2916825.07|2646.22|104.5|350600|350600 Bauru|20253.57|124.5|125989.0|455.5|203.5|351.0|0.66|69132|183674|2.7|79006|793.5|Bauru|66789|14642060.756|845.5|379297|2564.25|2020|195623|164370|267253.58|79.0
68|578715.24|2305.42|29.5|350610|350610 Bebedouro|32281.51|35.5|27056.0|123.5|57.0|94.0|0.15|13574|37575|2.3|15568|243.0|Bebedouro|14887|3344551.3660000004|284.0|77555|3031.67|2020|39980|33526|38925.42|21.5
69|0.83|2993.13|4.0|350620|350620 Bento de Abreu|0.0|0.0|752.0|4.0|1.0|0.0|0.01|621|1537|3.0|669|3.0|Bento de Abreu|438|167547.35199999998|3.0|3005|0.0|2020|1468|1277|1539.33|1.0
70|21372.2|2055.59|8.5|350630|350630 Bernardino de Campos|887.19|1.0|2426.0|16.0|5.0|7.5|0.01|2076|5464|2.1|2204|15.0|Bernardino de Campos|2287|220258.53|17.0|11158|347.92|2020|5694|4591|3594.67|4.0
71|253492.84|2841.81|17.0|350635|350635 Bertioga|106.07|6.0|13257.0|41.0|11.5|24.0|0.08|16323|31716|2.8|15917|32.5|Bertioga|6690|1690596.244|41.0|64723|36.67|2020|33007|25793|66530.83|5.5
72|22632.98|2137.66|3.0|350640|350640 Bilac|0.24|0.0|1369.0|6.0|2.0|3.0|0.01|1211|4075|2.1|1616|9.0|Bilac|1630|193041.289|9.0|8117|0.08|2020|4042|3660|10390.67|2.0
73|225178.51|1975.69|30.0|350650|350650 Birigui|5698.58|24.5|29826.0|132.0|39.5|102.0|0.15|22657|61146|2.0|25226|185.0|Birigui|21251|3336569.6|217.5|124883|516.33|2020|63737|55749|84098.42|15.0
74|22750.62|2161.53|11.0|350660|350660 Biritiba-Mirim|6.13|2.0|2829.0|13.5|4.0|2.5|0.03|7246|16640|2.2|7392|15.5|Biritiba-Mirim|4761|687602.587|16.0|32936|2.17|2020|16296|13537|8767.0|2.0
75|20734.9|1817.44|11.0|350670|350670 Boa Esperança do Sul|13.68|1.0|2441.0|14.0|4.0|3.0|0.01|3293|7575|1.8|3489|18.0|Boa Esperança do Sul|1971|309484.033|19.0|15018|4.83|2020|7443|6265|3790.08|3.0
76|22580.83|2440.55|7.0|350680|350680 Bocaina|0.0|4.0|2972.0|10.0|5.5|3.0|0.01|2432|6247|2.4|2763|19.0|Bocaina|1840|217465.699|20.0|12452|0.0|2020|6205|5417|12743.08|1.5
77|4077.78|2135.94|2.0|350690|350690 Bofete|7.22|0.0|1527.0|2.0|1.0|0.0|0.01|2436|5989|2.1|2392|1.0|Bofete|2201|187116.06|1.0|11921|2.83|2020|5932|4892|5514.25|1.0
78|123628.03|3034.99|17.5|350700|350700 Boituva|243.91|19.0|20177.0|64.0|31.5|46.5|0.11|13217|31426|3.0|14261|86.0|Boituva|7812|2381517.1459999997|100.5|62170|151.75|2020|30744|26880|41619.58|12.5
79|2446.9|2330.87|6.0|350710|350710 Bom Jesus dos Perdões|0.0|0.0|5394.0|12.0|3.5|6.0|0.04|5497|13206|2.3|6133|18.0|Bom Jesus dos Perdões|3324|908427.959|19.0|25985|0.0|2020|12779|11031|4272.33|3.5
80|1508.62|1729.63|4.5|350715|350715 Bom Sucesso de Itararé|112.95|0.0|582.0|4.5|1.0|0.0|0.0|1038|2027|1.7|1017|2.5|Bom Sucesso de Itararé|410|62659.767|2.5|3984|44.25|2020|1957|1519|344.08|1.0
81|279.89|2286.5|2.0|350720|350720 Borá|4.24|0.0|760.0|2.0|1.0|0.0|0.0|161|435|2.3|195|1.0|Borá|114|70889.584|1.0|838|1.5|2020|403|368|1078.33|1.0
82|3178.68|2480.83|3.0|350730|350730 Boracéia|0.0|0.0|1250.0|3.0|1.0|0.0|0.02|1104|2456|2.5|1067|3.0|Boracéia|776|383171.533|3.0|4868|0.0|2020|2412|1921|4597.25|1.0
