"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350090 Altair";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;-;-;-;7;-;2;15;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;27
"350110 Alto Alegre";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350115 Alumínio";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"350120 Álvares Florence";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350130 Álvares Machado";-;-;-;-;7;-;2;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;14
"350140 Álvaro de Carvalho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";-;-;2;-;21;1;15;313;-;-;2;4;1;-;1;-;-;-;1;25;-;-;1;1;-;388
"350170 Américo Brasiliense";-;-;-;-;1;-;2;5;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"350180 Américo de Campos";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350190 Amparo";2;-;1;-;11;-;20;110;-;-;2;2;-;-;2;3;-;1;-;16;1;-;-;-;-;171
"350200 Analândia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350210 Andradina";-;-;-;-;4;-;2;54;-;-;-;1;-;1;1;-;-;1;-;7;3;-;-;-;-;74
"350220 Angatuba";-;-;1;-;9;-;-;1;-;-;-;1;-;-;1;-;-;-;-;4;1;-;-;-;-;18
"350230 Anhembi";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350240 Anhumas";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350250 Aparecida";-;-;-;-;2;-;2;6;-;1;-;1;-;-;-;6;-;-;-;4;1;-;-;-;-;23
"350260 Aparecida d'Oeste";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350270 Apiaí";-;-;1;-;10;-;2;8;-;-;-;1;-;-;2;-;-;-;-;4;2;-;-;-;-;30
"350275 Araçariguama";-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350280 Araçatuba";-;1;-;-;19;1;70;248;1;1;5;3;-;1;3;1;-;2;1;20;1;-;3;-;1;382
"350290 Araçoiaba da Serra";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;9
"350300 Aramina";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350310 Arandu";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350315 Arapeí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350320 Araraquara";-;-;1;-;28;1;69;328;-;3;1;3;1;-;10;-;-;4;1;15;2;-;1;-;3;471
"350330 Araras";-;-;1;-;23;-;29;157;-;-;1;4;-;-;2;-;-;-;-;10;2;-;-;-;-;229
"350335 Arco-Íris";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350340 Arealva";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350350 Areias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350360 Areiópolis";-;-;-;-;4;-;1;6;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;14
"350370 Ariranha";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350380 Artur Nogueira";-;-;-;-;10;-;5;16;-;-;-;1;-;-;2;1;-;-;-;2;1;-;-;-;-;38
"350390 Arujá";-;-;-;-;5;-;4;4;-;-;-;1;-;-;1;-;-;-;-;6;1;-;-;-;1;23
"350395 Aspásia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 Assis";-;-;1;-;20;2;15;111;-;1;3;5;1;-;6;1;-;1;-;18;1;-;-;-;-;186
"350410 Atibaia";-;-;-;-;18;-;12;187;-;-;-;4;-;-;17;2;-;-;-;23;1;-;-;-;-;264
"350420 Auriflama";-;-;-;-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;10
"350430 Avaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350440 Avanhandava";-;-;-;-;5;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;13
"350450 Avaré";-;-;-;-;15;-;6;72;-;-;-;1;-;-;-;-;-;1;-;12;2;-;-;-;1;110
